id,title,description,availability,condition,price,link,image_link,brand,item_group_id,size
americaniron-50ml,American Iron 50 มล.,American Iron คือเคลือบเทคโนโลยี Polysilazane ประสิทธิภาพสูงสำหรับปกป้องและฟื้นฟูชิ้นส่วนเครื่องยนต์และโครเมียม ทนความร้อนถึง 400°C ผิว Hydrophobic คราบเกาะยาก ทำความสะอาดง่าย ใช้ได้ทุกชิ้นภายนอกยกเว้นสีรถและเบรก,in stock,new,1390.00 THB,https://www.lucernapro.com/americaniron,https://www.lucernapro.com/img/feed/americaniron.jpg,LucernaPro,americaniron,50 มล.
anchor-250g,Lucerna Anchor 250 g,Lucerna Anchor กาวเรซิน 2 ส่วนผสม เนื้อครีมข้นมีทราย ติดผิวเงาที่กาวทั่วไปจับไม่อยู่ กระเบื้อง กระจก หิน โลหะ คอนกรีต ติดของบนกระเบื้องไม่ต้องเจาะ ซ่อมกระเบื้องร่อน ติดหินในบ่อและน้ำตก อุดช่องว่างพร้อมติด กันน้ำในตัว ใช้กลางแจ้งได้ 250 g 350 · 1 กก. 590,in stock,new,350.00 THB,https://www.lucernapro.com/anchor,https://www.lucernapro.com/img/feed/anchor.jpg,LucernaPro,anchor,250 g
anchor-1kg,Lucerna Anchor 1 กก.,Lucerna Anchor กาวเรซิน 2 ส่วนผสม เนื้อครีมข้นมีทราย ติดผิวเงาที่กาวทั่วไปจับไม่อยู่ กระเบื้อง กระจก หิน โลหะ คอนกรีต ติดของบนกระเบื้องไม่ต้องเจาะ ซ่อมกระเบื้องร่อน ติดหินในบ่อและน้ำตก อุดช่องว่างพร้อมติด กันน้ำในตัว ใช้กลางแจ้งได้ 250 g 350 · 1 กก. 590,in stock,new,590.00 THB,https://www.lucernapro.com/anchor,https://www.lucernapro.com/img/feed/anchor.jpg,LucernaPro,anchor,1 กก.
anchor-5kg,Lucerna Anchor 5 กก.,Lucerna Anchor กาวเรซิน 2 ส่วนผสม เนื้อครีมข้นมีทราย ติดผิวเงาที่กาวทั่วไปจับไม่อยู่ กระเบื้อง กระจก หิน โลหะ คอนกรีต ติดของบนกระเบื้องไม่ต้องเจาะ ซ่อมกระเบื้องร่อน ติดหินในบ่อและน้ำตก อุดช่องว่างพร้อมติด กันน้ำในตัว ใช้กลางแจ้งได้ 250 g 350 · 1 กก. 590,in stock,new,1990.00 THB,https://www.lucernapro.com/anchor,https://www.lucernapro.com/img/feed/anchor.jpg,LucernaPro,anchor,5 กก.
aquashell-1kg,AquaShell 709 กันซึมใสสำหรับผนัง 1 กก.,AquaShell 709 — เคลือบใสกันซึมระบบ Waterbase สำหรับผนังปูน ผนังอิฐ อิฐบล็อก ทั้งภายในและภายนอก ทาทับสีเดิมได้ไม่ต้องลอก น้ำไม่เกาะผิว ผนังสะอาดง่ายขึ้น ใช้เป็นรองพื้นก่อนทาสีจริงก็ได้ 1 กก. 470 บาท ปรึกษาหน้างานฟรีทางแชทเพจ,in stock,new,470.00 THB,https://www.lucernapro.com/aquashell,https://www.lucernapro.com/img/feed/aquashell.jpg,LucernaPro,aquashell,1 กก.
aquashell-5kg,AquaShell 709 กันซึมใสสำหรับผนัง 5 กก.,AquaShell 709 — เคลือบใสกันซึมระบบ Waterbase สำหรับผนังปูน ผนังอิฐ อิฐบล็อก ทั้งภายในและภายนอก ทาทับสีเดิมได้ไม่ต้องลอก น้ำไม่เกาะผิว ผนังสะอาดง่ายขึ้น ใช้เป็นรองพื้นก่อนทาสีจริงก็ได้ 1 กก. 470 บาท ปรึกษาหน้างานฟรีทางแชทเพจ,in stock,new,1670.00 THB,https://www.lucernapro.com/aquashell,https://www.lucernapro.com/img/feed/aquashell.jpg,LucernaPro,aquashell,5 กก.
bioshield-1kg,Lucerna BioShield 1 kg,Lucerna BioShield น้ำยากำจัดเชื้อรา ตะไคร่ และไลเคนบนผนัง คอนกรีต ปูนฉาบ หิน กระเบื้อง — ออกฤทธิ์กับจุลินทรีย์โดยตรง ไม่ใช่แค่ฟอกสีคราบ กำจัดแล้วช่วยป้องกันการกลับมาในขวดเดียว พร้อมใช้ทันที ทา กลิ้ง หรือพ่นได้ ปรึกษาฟรีทางแชทเพจ,in stock,new,160.00 THB,https://www.lucernapro.com/bioshield,https://www.lucernapro.com/img/feed/bioshield.jpg,LucernaPro,bioshield,1 kg
bioshield-5kg,Lucerna BioShield 5 kg,Lucerna BioShield น้ำยากำจัดเชื้อรา ตะไคร่ และไลเคนบนผนัง คอนกรีต ปูนฉาบ หิน กระเบื้อง — ออกฤทธิ์กับจุลินทรีย์โดยตรง ไม่ใช่แค่ฟอกสีคราบ กำจัดแล้วช่วยป้องกันการกลับมาในขวดเดียว พร้อมใช้ทันที ทา กลิ้ง หรือพ่นได้ ปรึกษาฟรีทางแชทเพจ,in stock,new,399.00 THB,https://www.lucernapro.com/bioshield,https://www.lucernapro.com/img/feed/bioshield.jpg,LucernaPro,bioshield,5 kg
blast-150ml,Blast สเปรย์ทำความสะอาด 150 มล.,Blast คือสเปรย์ทำความสะอาดพลังสูงจาก Lucerna ตัวถนัดคือคราบน้ำมันและคราบฝังแน่น แรงกับคราบแต่ไม่ทำลายพื้นผิว สูตรน้ำ กลิ่นอ่อน ไม่มีกรดเป็นส่วนผสม ใช้ได้ทั้งบ้านทั้งรถ เคมีจากยุโรป — ห้ามใช้กับเบาะหนังเทียม/ผิวเคลือบ PU,in stock,new,160.00 THB,https://www.lucernapro.com/blast,https://www.lucernapro.com/img/feed/blast.jpg,LucernaPro,blast,150 มล.
boundgravel-2p5kg,BoundGravel น้ำยาทรายล้าง 2.5 kg,"BoundGravel — น้ำยาทรายล้างสำหรับพื้นหินสไตล์ยุโรป ไม่ต้องใช้ปูน คลุกน้ำยากับหินแล้วฉาบจบขั้นตอนเดียว หนาแค่ 1 ซม. น้ำซึมผ่านได้ ไม่ขังน้ำ แกร่งกว่างานปูน เริ่มต้น 1,200 บาท ปรึกษาฟรีทางแชทเพจ",in stock,new,1200.00 THB,https://www.lucernapro.com/boundgravel,https://www.lucernapro.com/img/feed/boundgravel.jpg,LucernaPro,boundgravel,2.5 kg
boundgravel-5kg,BoundGravel น้ำยาทรายล้าง 5 kg,"BoundGravel — น้ำยาทรายล้างสำหรับพื้นหินสไตล์ยุโรป ไม่ต้องใช้ปูน คลุกน้ำยากับหินแล้วฉาบจบขั้นตอนเดียว หนาแค่ 1 ซม. น้ำซึมผ่านได้ ไม่ขังน้ำ แกร่งกว่างานปูน เริ่มต้น 1,200 บาท ปรึกษาฟรีทางแชทเพจ",in stock,new,2280.00 THB,https://www.lucernapro.com/boundgravel,https://www.lucernapro.com/img/feed/boundgravel.jpg,LucernaPro,boundgravel,5 kg
carbontilegrout-400ml,ยาแนวกันซึม Carbon ยาแนว Carbon ชุดหลอดคู่ A+B 400ml,ยาแนว Carbon แบบปืนยิงหลอดคู่ A+B ผสมกันเองที่ปลายหลอด ใช้ง่ายกว่าแบบผสมเองมาก ปลอดภัยกว่า ไม่เลอะเทอะ กันซึมร่องกระเบื้อง อายุงาน 5 ปี ชุด 400ml 470 บาท ใช้ได้ ~5 ตร.ม. สีขาว ปืนยิงแยก 470 บาท,in stock,new,470.00 THB,https://www.lucernapro.com/carbontilegrout,https://www.lucernapro.com/img/feed/carbontilegrout.jpg,LucernaPro,carbontilegrout,ยาแนว Carbon ชุดหลอดคู่ A+B 400ml
carbontilegrout-x,ยาแนวกันซึม Carbon ปืนยิงหลอดคู่ (ซื้อครั้งเดียว ใช้ซ้ำได้),ยาแนว Carbon แบบปืนยิงหลอดคู่ A+B ผสมกันเองที่ปลายหลอด ใช้ง่ายกว่าแบบผสมเองมาก ปลอดภัยกว่า ไม่เลอะเทอะ กันซึมร่องกระเบื้อง อายุงาน 5 ปี ชุด 400ml 470 บาท ใช้ได้ ~5 ตร.ม. สีขาว ปืนยิงแยก 470 บาท,in stock,new,470.00 THB,https://www.lucernapro.com/carbontilegrout,https://www.lucernapro.com/img/feed/carbontilegrout.jpg,LucernaPro,carbontilegrout,ปืนยิงหลอดคู่ (ซื้อครั้งเดียว ใช้ซ้ำได้)
coreprimer-1kg,CorePrimer 1 กก.,"CorePrimer รองพื้นซึมลึกสำหรับสระว่ายน้ำคอนกรีต ส่วนผสมเดียว — ซึมลงเนื้อปูน ล็อกผิวร่วนเป็นฐานแน่น เชื่อมปูนกับสีกันซึม PoolArmour เป็นระบบเดียว รอ 10 นาทีแล้วทาสีทับได้ทันที จบสระในวันเดียว สำหรับสระใช้งานหนักและงานที่พลาดไม่ได้ 1 กก. 690 บาท / 5 กก. 2,690 บาท",in stock,new,690.00 THB,https://www.lucernapro.com/coreprimer,https://www.lucernapro.com/img/feed/coreprimer.jpg,LucernaPro,coreprimer,1 กก.
